"","Corp.x","Corp.Name.x","School","School.Name.x","Performance.Points...3.8..2017","Performance.Weight...3.8..2017","Growth.Points...4.8..2017","Growth.Weight...4.8..2017","Performance.Points...10..2017","Performance.Weight...10..2017","Growth.Points...10.12..2017","Growth.Weight...10.12..2017","Mult..Measures.Points...12..2017","Mult..Measures.Weight...12..2017","Overall.Points.2017","Overall.Grade.2017","Performance.Points...3.8..2018","Performance.Weight...3.8..2018","Growth.Points...4.8..2018","Growth.Weight...4.8..2018","Performance.Points...10..2018","Performance.Weight...10..2018","Growth.Points...10.12..2018","Growth.Weight...10.12..2018","Mult..Measures.Points...12..2018","Mult..Measures.Weight...12..2018","Overall.Points.2018","Overall.Grade.2018","TraditionalPublic"
"1",15,"Adams Central Community Schools","0013","Adams Central Middle School",66.2,0.5,104.4,0.5,NA,NA,NA,NA,NA,NA,85.3,"B",72.2,0.5,110.2,0.5,NA,NA,NA,NA,NA,NA,91.2,"A",1
"2",15,"Adams Central Community Schools","0020","Adams Central Elementary School",72.4,0.5,87.9,0.5,NA,NA,NA,NA,NA,NA,80.2,"B",67,0.5,82.2,0.5,NA,NA,NA,NA,NA,NA,74.6,"C",1
"3",15,"Adams Central Community Schools","0021","Adams Central High School",NA,NA,NA,NA,46.4,0.2,115.5,0.2,100.6,0.6,92.7,"A",NA,NA,NA,NA,62.4,0.2,86.4,0.2,100.6,0.6,90.1,"A",1
"4",25,"North Adams Community Schools","0029","Bellmont Senior High School",NA,NA,NA,NA,64.7,0.2,116.5,0.2,95,0.6,93.2,"A",NA,NA,NA,NA,57,0.2,107.9,0.2,101.1,0.6,93.6,"A",1
"5",25,"North Adams Community Schools","0033","Bellmont Middle School",56.1,0.5,106.2,0.5,NA,NA,NA,NA,NA,NA,81.2,"B",54.1,0.5,108.7,0.5,NA,NA,NA,NA,NA,NA,81.4,"B",1
"6",25,"North Adams Community Schools","0037","Northwest Elementary",50,0.5,105.2,0.5,NA,NA,NA,NA,NA,NA,77.6,"C",46.3,0.5,100.3,0.5,NA,NA,NA,NA,NA,NA,73.3,"C",1
"7",25,"North Adams Community Schools","0041","Southeast Elementary School",50,0.5,105.2,0.5,NA,NA,NA,NA,NA,NA,77.6,"C",46.3,0.5,100.3,0.5,NA,NA,NA,NA,NA,NA,73.3,"C",1
"8",35,"South Adams Schools","0017","South Adams Middle School",63.2,0.5,107.7,0.5,NA,NA,NA,NA,NA,NA,85.5,"B",67.4,0.5,107.4,0.5,NA,NA,NA,NA,NA,NA,87.4,"B",1
"9",35,"South Adams Schools","0023","South Adams High School",NA,NA,NA,NA,62.2,0.2,96.9,0.2,100,0.6,91.8,"A",NA,NA,NA,NA,55,0.2,94.2,0.2,101.9,0.6,91,"A",1
"10",35,"South Adams Schools","0025","South Adams Elementary School",74.7,0.5,112.8,0.5,NA,NA,NA,NA,NA,NA,93.8,"A",72.9,0.5,107.7,0.5,NA,NA,NA,NA,NA,NA,90.3,"A",1
"11",125,"M S D Southwest Allen County Schls","0045","Aboite Elementary School",84.1,0.5,98.8,0.5,NA,NA,NA,NA,NA,NA,91.5,"A",80.6,0.5,93.7,0.5,NA,NA,NA,NA,NA,NA,87.2,"B",1
"12",125,"M S D Southwest Allen County Schls","0046","Whispering Meadow Elementary Sch",59.7,0.5,87.3,0.5,NA,NA,NA,NA,NA,NA,73.5,"C",64.3,0.5,82.8,0.5,NA,NA,NA,NA,NA,NA,73.6,"C",1
"13",125,"M S D Southwest Allen County Schls","0047","Homestead Senior High School",NA,NA,NA,NA,68.2,0.2,116.9,0.2,100.4,0.6,97.3,"A",NA,NA,NA,NA,68.1,0.2,116.3,0.2,100.4,0.6,97.1,"A",1
"14",125,"M S D Southwest Allen County Schls","0063","Summit Middle School",72,0.5,107.9,0.5,NA,NA,NA,NA,NA,NA,90,"A",75.2,0.5,111.1,0.5,NA,NA,NA,NA,NA,NA,93.2,"A",1
"15",125,"M S D Southwest Allen County Schls","0064","Lafayette Meadow School",73.5,0.5,107.2,0.5,NA,NA,NA,NA,NA,NA,90.4,"A",77.2,0.5,100.4,0.5,NA,NA,NA,NA,NA,NA,88.8,"B",1
"16",125,"M S D Southwest Allen County Schls","0067","Woodside Middle School",78.5,0.5,111.8,0.5,NA,NA,NA,NA,NA,NA,95.2,"A",77.2,0.5,111.2,0.5,NA,NA,NA,NA,NA,NA,94.2,"A",1
"17",125,"M S D Southwest Allen County Schls","0068","Haverhill Elementary School",74.6,0.5,85.5,0.5,NA,NA,NA,NA,NA,NA,80.1,"B",69.2,0.5,59.3,0.5,NA,NA,NA,NA,NA,NA,64.3,"D",1
"18",125,"M S D Southwest Allen County Schls","0071","Deer Ridge Elementary",78.6,0.5,106.7,0.5,NA,NA,NA,NA,NA,NA,92.7,"A",77.5,0.5,101.2,0.5,NA,NA,NA,NA,NA,NA,89.4,"B",1
"19",125,"M S D Southwest Allen County Schls","0072","Covington Elementary School",68,0.5,98.9,0.5,NA,NA,NA,NA,NA,NA,83.5,"B",63.5,0.5,102.6,0.5,NA,NA,NA,NA,NA,NA,83.1,"B",1
"20",225,"Northwest Allen County Schools","0069","Arcola School",72.8,0.5,89.9,0.5,NA,NA,NA,NA,NA,NA,81.4,"B",76,0.5,85,0.5,NA,NA,NA,NA,NA,NA,80.5,"B",1
"21",225,"Northwest Allen County Schools","0087","Hickory Center Elementary School",78.5,0.5,92.4,0.5,NA,NA,NA,NA,NA,NA,85.5,"B",76,0.5,81.1,0.5,NA,NA,NA,NA,NA,NA,78.6,"C",1
"22",225,"Northwest Allen County Schools","0089","Huntertown Elementary School",67.1,0.5,103.7,0.5,NA,NA,NA,NA,NA,NA,85.4,"B",61.9,0.5,81.8,0.5,NA,NA,NA,NA,NA,NA,71.9,"C",1
"23",225,"Northwest Allen County Schools","0090","Carroll Middle School",71.1,0.5,104.7,0.5,NA,NA,NA,NA,NA,NA,87.9,"B",71.3,0.5,107.2,0.5,NA,NA,NA,NA,NA,NA,89.3,"B",1
"24",225,"Northwest Allen County Schools","0091","Carroll High School",NA,NA,NA,NA,63.4,0.2,121,0.2,100.3,0.6,97.1,"A",NA,NA,NA,NA,70,0.2,124.2,0.2,100.2,0.6,99,"A",1
